Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","1998","1998","Head","4931000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","1999","1999","Head","5479000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2000","2000","Head","5335000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2001","2001","Head","4834000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2002","2002","Head","4822000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2003","2003","Head","5082000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2004","2004","Head","4913000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2005","2005","Head","4059000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2006","2006","Head","3853000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2007","2007","Head","3987000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2008","2008","Head","3871000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2009","2009","Head","3383000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2010","2010","Head","3247000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2011","2011","Head","3169000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2012","2012","Head","3044000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2013","2013","Head","2989000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2014","2014","Head","3004000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2015","2015","Head","3136000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2016","2016","Head","3124000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2017","2017","Head","2907000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2018","2018","Head","2872000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2019","2019","Head","2634000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","1034","Pigs","2020","2020","Head","2850000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","1995","1995","Head","947000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","1996","1996","Head","977000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","1997","1997","Head","872000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","1998","1998","Head","858000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","1999","1999","Head","909000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2000","2000","Head","934000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2001","2001","Head","1129000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2002","2002","Head","1136000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2003","2003","Head","1103000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2004","2004","Head","1296000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2005","2005","Head","1397000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2006","2006","Head","1405000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2007","2007","Head","1298000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2008","2008","Head","1231000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2009","2009","Head","1236000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2010","2010","Head","1223000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2011","2011","Head","1181000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2012","2012","Head","1120000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2013","2013","Head","1185000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2014","2014","Head","1214000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2015","2015","Head","1185000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2016","2016","Head","1190000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2017","2017","Head","1141000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2018","2018","Head","1109000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2019","2019","Head","1061000","","Official data"
"QCL","Crops and livestock products","97","Hungary","5111","Stocks","976","Sheep","2020","2020","Head","944000","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","1995","1995","Head","6343900","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","1996","1996","Head","6450600","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","1997","1997","Head","6660900","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","1998","1998","Head","6881600","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","1999","1999","Head","6951700","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2000","2000","Head","7037400","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2001","2001","Head","7049700","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2002","2002","Head","6992200","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2003","2003","Head","6999500","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2004","2004","Head","7015600","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2005","2005","Head","6991800","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2006","2006","Head","6977800","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2007","2007","Head","6890900","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2008","2008","Head","6902100","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2009","2009","Head","6890700","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2010","2010","Head","6606600","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2011","2011","Head","6493000","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2012","2012","Head","6754100","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2013","2013","Head","6902600","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2014","2014","Head","6926100","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2015","2015","Head","6963500","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2016","2016","Head","7221200","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2017","2017","Head","7363498","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2018","2018","Head","6593490","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2019","2019","Head","6559650","","Official data"
"QCL","Crops and livestock products","104","Ireland","5111","Stocks","866","Cattle","2020","2020","Head","6529440","","Official data"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","1995","1995","1000 Head","11906","","Official data"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","1996","1996","1000 Head","11221","","Official data"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","1997","1997","1000 Head","11491","","Official data"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","1998","1998","1000 Head","11233","","Official data"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","1999","1999","1000 Head","10991","","Official data"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2000","2000","1000 Head","12725","","Official data"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2001","2001","1000 Head","12603","","Official data"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2002","2002","1000 Head","12709","","Official data"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2003","2003","1000 Head","12738","","Official data"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2004","2004","1000 Head","12500","F","FAO estimate"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2005","2005","1000 Head","12300","F","FAO estimate"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2006","2006","1000 Head","12800","F","FAO estimate"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2007","2007","1000 Head","13000","F","FAO estimate"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2008","2008","1000 Head","13200","F","FAO estimate"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2009","2009","1000 Head","15000","F","FAO estimate"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2010","2010","1000 Head","13800","F","FAO estimate"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2011","2011","1000 Head","14000","F","FAO estimate"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2012","2012","1000 Head","14500","F","FAO estimate"
"QCL","Crops and livestock products","104","Ireland","5112","Stocks","1057","Chickens","2013","2013","1000 Head","15000","F","FAO estimate"
