"","","","Export Quantity Index (2014-2016 = 100) [495]","Export Quantity Index (2014-2016 = 100) [495]","Export Quantity Index (2014-2016 = 100) [495]","Export Unit/Value Index (2014-2016 = 100)","Export Unit/Value Index (2014-2016 = 100)","Export Unit/Value Index (2014-2016 = 100)","Export Value Base Price [95]","Export Value Base Price [95]","Export Value Base Price [95]","Export Value Base Quantity [94]","Export Value Base Quantity [94]","Export Value Base Quantity [94]","Export Value Index (2014-2016 = 100) [492]","Export Value Index (2014-2016 = 100) [492]","Export Value Index (2014-2016 = 100) [492]","Import Quantity Index (2014-2016 = 100) [465]","Import Quantity Index (2014-2016 = 100) [465]","Import Quantity Index (2014-2016 = 100) [465]","Import Unit/Value Index (2014-2016 = 100)","Import Unit/Value Index (2014-2016 = 100)","Import Unit/Value Index (2014-2016 = 100)","Import Value Base Period Price [65]","Import Value Base Period Price [65]","Import Value Base Period Price [65]","Import Value Base Period Quantity [64]","Import Value Base Period Quantity [64]","Import Value Base Period Quantity [64]","Import Value Index (2014-2016 = 100) [462]","Import Value Index (2014-2016 = 100) [462]","Import Value Index (2014-2016 = 100) [462]"
"","","","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description","Unit","Value","Flag Description"
"1998 [1998]","Meat, pig [1035]","Hungary [97]","index","55","Calculated data","index","75","Calculated data","1000 $","204467","Calculated data","1000 $","277609","Calculated data","index","41","Calculated data","index","28","Calculated data","index","59","Calculated data","1000 $","74101","Calculated data","1000 $","157837","Calculated data","index","16","Calculated data"
"1998 [1998]","Meat, pig [1035]","Ireland [104]","index","54","Calculated data","index","66","Calculated data","1000 $","247421","Calculated data","1000 $","307065","Calculated data","index","36","Calculated data","index","38","Calculated data","index","81","Calculated data","1000 $","47102","Calculated data","1000 $","101581","Calculated data","index","31","Calculated data"
"1998 [1998]","Meat, sheep [977]","Hungary [97]","index","227","Calculated data","index","71","Calculated data","1000 $","3198","Calculated data","1000 $","1093","Calculated data","index","176","Calculated data","index","35","Calculated data","index","35","Calculated data","1000 $","558","Calculated data","1000 $","574","Calculated data","index","13","Calculated data"
"1998 [1998]","Meat, sheep [977]","Ireland [104]","index","109","Calculated data","index","52","Calculated data","1000 $","297715","Calculated data","1000 $","141159","Calculated data","index","57","Calculated data","index","36","Calculated data","index","52","Calculated data","1000 $","8697","Calculated data","1000 $","12561","Calculated data","index","19","Calculated data"
"1999 [1999]","Meat, cattle [867]","Hungary [97]","index","74","Calculated data","index","84","Calculated data","1000 $","26797","Calculated data","1000 $","30709","Calculated data","index","63","Calculated data","index","4","Calculated data","index","26","Calculated data","1000 $","1970","Calculated data","1000 $","11820","Calculated data","index","1","Calculated data"
"1999 [1999]","Meat, cattle [867]","Ireland [104]","index","145","Calculated data","index","40","Calculated data","1000 $","2815796","Calculated data","1000 $","786998","Calculated data","index","59","Calculated data","index","20","Calculated data","index","55","Calculated data","1000 $","22053","Calculated data","1000 $","61597","Calculated data","index","11","Calculated data"
"1999 [1999]","Meat, chicken [1058]","Hungary [97]","index","57","Calculated data","index","72","Calculated data","1000 $","318644","Calculated data","1000 $","401318","Calculated data","index","41","Calculated data","index","16","Calculated data","index","12","Calculated data","1000 $","9683","Calculated data","1000 $","7203","Calculated data","index","2","Calculated data"
"1999 [1999]","Meat, chicken [1058]","Ireland [104]","index","64","Calculated data","index","109","Calculated data","1000 $","62062","Calculated data","1000 $","107981","Calculated data","index","71","Calculated data","index","35","Calculated data","index","65","Calculated data","1000 $","118998","Calculated data","1000 $","227487","Calculated data","index","23","Calculated data"
"1999 [1999]","Meat, pig [1035]","Hungary [97]","index","72","Calculated data","index","63","Calculated data","1000 $","264512","Calculated data","1000 $","234618","Calculated data","index","45","Calculated data","index","11","Calculated data","index","42","Calculated data","1000 $","30009","Calculated data","1000 $","112676","Calculated data","index","5","Calculated data"
"1999 [1999]","Meat, pig [1035]","Ireland [104]","index","46","Calculated data","index","77","Calculated data","1000 $","212586","Calculated data","1000 $","357598","Calculated data","index","36","Calculated data","index","39","Calculated data","index","91","Calculated data","1000 $","48391","Calculated data","1000 $","113849","Calculated data","index","35","Calculated data"
"1999 [1999]","Meat, sheep [977]","Hungary [97]","index","302","Calculated data","index","63","Calculated data","1000 $","4260","Calculated data","1000 $","968","Calculated data","index","207","Calculated data","index","47","Calculated data","index","51","Calculated data","1000 $","742","Calculated data","1000 $","838","Calculated data","index","25","Calculated data"
"1999 [1999]","Meat, sheep [977]","Ireland [104]","index","127","Calculated data","index","53","Calculated data","1000 $","344674","Calculated data","1000 $","145112","Calculated data","index","68","Calculated data","index","35","Calculated data","index","47","Calculated data","1000 $","8429","Calculated data","1000 $","11390","Calculated data","index","16","Calculated data"
"2000 [2000]","Meat, cattle [867]","Hungary [97]","index","76","Calculated data","index","72","Calculated data","1000 $","27543","Calculated data","1000 $","26156","Calculated data","index","55","Calculated data","index","45","Calculated data","index","28","Calculated data","1000 $","20728","Calculated data","1000 $","12860","Calculated data","index","13","Calculated data"
"2000 [2000]","Meat, cattle [867]","Ireland [104]","index","118","Calculated data","index","38","Calculated data","1000 $","2292773","Calculated data","1000 $","743609","Calculated data","index","46","Calculated data","index","28","Calculated data","index","51","Calculated data","1000 $","30961","Calculated data","1000 $","57226","Calculated data","index","14","Calculated data"
"2000 [2000]","Meat, chicken [1058]","Hungary [97]","index","55","Calculated data","index","72","Calculated data","1000 $","307075","Calculated data","1000 $","400283","Calculated data","index","39","Calculated data","index","64","Calculated data","index","15","Calculated data","1000 $","38412","Calculated data","1000 $","8753","Calculated data","index","9","Calculated data"
"2000 [2000]","Meat, chicken [1058]","Ireland [104]","index","108","Calculated data","index","117","Calculated data","1000 $","105099","Calculated data","1000 $","115845","Calculated data","index","129","Calculated data","index","60","Calculated data","index","43","Calculated data","1000 $","204996","Calculated data","1000 $","150641","Calculated data","index","26","Calculated data"
"2000 [2000]","Meat, pig [1035]","Hungary [97]","index","78","Calculated data","index","64","Calculated data","1000 $","287987","Calculated data","1000 $","238832","Calculated data","index","50","Calculated data","index","22","Calculated data","index","52","Calculated data","1000 $","58987","Calculated data","1000 $","140185","Calculated data","index","12","Calculated data"
"2000 [2000]","Meat, pig [1035]","Ireland [104]","index","49","Calculated data","index","69","Calculated data","1000 $","226490","Calculated data","1000 $","321062","Calculated data","index","34","Calculated data","index","54","Calculated data","index","88","Calculated data","1000 $","67401","Calculated data","1000 $","110572","Calculated data","index","48","Calculated data"
"2000 [2000]","Meat, sheep [977]","Hungary [97]","index","249","Calculated data","index","55","Calculated data","1000 $","3511","Calculated data","1000 $","844","Calculated data","index","149","Calculated data","index","65","Calculated data","index","38","Calculated data","1000 $","1027","Calculated data","1000 $","619","Calculated data","index","25","Calculated data"
"2000 [2000]","Meat, sheep [977]","Ireland [104]","index","121","Calculated data","index","46","Calculated data","1000 $","329050","Calculated data","1000 $","125489","Calculated data","index","56","Calculated data","index","38","Calculated data","index","42","Calculated data","1000 $","9239","Calculated data","1000 $","10255","Calculated data","index","16","Calculated data"
"2001 [2001]","Meat, cattle [867]","Hungary [97]","index","41","Calculated data","index","75","Calculated data","1000 $","14867","Calculated data","1000 $","27341","Calculated data","index","31","Calculated data","index","14","Calculated data","index","22","Calculated data","1000 $","6264","Calculated data","1000 $","10214","Calculated data","index","3","Calculated data"
"2001 [2001]","Meat, cattle [867]","Ireland [104]","index","65","Calculated data","index","46","Calculated data","1000 $","1264065","Calculated data","1000 $","902384","Calculated data","index","30","Calculated data","index","34","Calculated data","index","47","Calculated data","1000 $","37663","Calculated data","1000 $","52264","Calculated data","index","16","Calculated data"
"2001 [2001]","Meat, chicken [1058]","Hungary [97]","index","60","Calculated data","index","80","Calculated data","1000 $","333045","Calculated data","1000 $","449020","Calculated data","index","48","Calculated data","index","79","Calculated data","index","26","Calculated data","1000 $","47187","Calculated data","1000 $","15270","Calculated data","index","20","Calculated data"
"2001 [2001]","Meat, chicken [1058]","Ireland [104]","index","73","Calculated data","index","85","Calculated data","1000 $","71336","Calculated data","1000 $","84679","Calculated data","index","64","Calculated data","index","35","Calculated data","index","85","Calculated data","1000 $","118809","Calculated data","1000 $","299733","Calculated data","index","30","Calculated data"
"2001 [2001]","Meat, pig [1035]","Hungary [97]","index","67","Calculated data","index","87","Calculated data","1000 $","246893","Calculated data","1000 $","322580","Calculated data","index","58","Calculated data","index","25","Calculated data","index","65","Calculated data","1000 $","66402","Calculated data","1000 $","172392","Calculated data","index","16","Calculated data"
"2001 [2001]","Meat, pig [1035]","Ireland [104]","index","57","Calculated data","index","71","Calculated data","1000 $","260327","Calculated data","1000 $","329668","Calculated data","index","40","Calculated data","index","64","Calculated data","index","95","Calculated data","1000 $","80149","Calculated data","1000 $","119483","Calculated data","index","61","Calculated data"
"2001 [2001]","Meat, sheep [977]","Hungary [97]","index","635","Calculated data","index","58","Calculated data","1000 $","8953","Calculated data","1000 $","893","Calculated data","index","402","Calculated data","index","44","Calculated data","index","46","Calculated data","1000 $","698","Calculated data","1000 $","755","Calculated data","index","21","Calculated data"
"2001 [2001]","Meat, sheep [977]","Ireland [104]","index","156","Calculated data","index","56","Calculated data","1000 $","422926","Calculated data","1000 $","152613","Calculated data","index","87","Calculated data","index","42","Calculated data","index","46","Calculated data","1000 $","10042","Calculated data","1000 $","11083","Calculated data","index","19","Calculated data"
"2002 [2002]","Meat, cattle [867]","Hungary [97]","index","58","Calculated data","index","75","Calculated data","1000 $","21021","Calculated data","1000 $","27279","Calculated data","index","44","Calculated data","index","70","Calculated data","index","25","Calculated data","1000 $","32352","Calculated data","1000 $","11367","Calculated data","index","17","Calculated data"
"2002 [2002]","Meat, cattle [867]","Ireland [104]","index","92","Calculated data","index","46","Calculated data","1000 $","1778683","Calculated data","1000 $","890062","Calculated data","index","42","Calculated data","index","44","Calculated data","index","48","Calculated data","1000 $","48732","Calculated data","1000 $","53748","Calculated data","index","21","Calculated data"
"2002 [2002]","Meat, chicken [1058]","Hungary [97]","index","60","Calculated data","index","80","Calculated data","1000 $","334008","Calculated data","1000 $","447413","Calculated data","index","48","Calculated data","index","46","Calculated data","index","33","Calculated data","1000 $","27626","Calculated data","1000 $","19757","Calculated data","index","15","Calculated data"
"2002 [2002]","Meat, chicken [1058]","Ireland [104]","index","66","Calculated data","index","93","Calculated data","1000 $","63602","Calculated data","1000 $","92168","Calculated data","index","62","Calculated data","index","33","Calculated data","index","87","Calculated data","1000 $","113529","Calculated data","1000 $","307208","Calculated data","index","29","Calculated data"
"2002 [2002]","Meat, pig [1035]","Hungary [97]","index","63","Calculated data","index","86","Calculated data","1000 $","231875","Calculated data","1000 $","318304","Calculated data","index","54","Calculated data","index","32","Calculated data","index","60","Calculated data","1000 $","84932","Calculated data","1000 $","159554","Calculated data","index","19","Calculated data"
"2002 [2002]","Meat, pig [1035]","Ireland [104]","index","49","Calculated data","index","70","Calculated data","1000 $","227045","Calculated data","1000 $","326466","Calculated data","index","35","Calculated data","index","59","Calculated data","index","96","Calculated data","1000 $","73652","Calculated data","1000 $","120119","Calculated data","index","56","Calculated data"
"2002 [2002]","Meat, sheep [977]","Hungary [97]","index","89","Calculated data","index","61","Calculated data","1000 $","1262","Calculated data","1000 $","937","Calculated data","index","59","Calculated data","index","61","Calculated data","index","57","Calculated data","1000 $","962","Calculated data","1000 $","928","Calculated data","index","35","Calculated data"
"2002 [2002]","Meat, sheep [977]","Ireland [104]","index","107","Calculated data","index","53","Calculated data","1000 $","291150","Calculated data","1000 $","144751","Calculated data","index","57","Calculated data","index","38","Calculated data","index","53","Calculated data","1000 $","9204","Calculated data","1000 $","12909","Calculated data","index","20","Calculated data"
"2003 [2003]","Meat, cattle [867]","Hungary [97]","index","61","Calculated data","index","95","Calculated data","1000 $","22224","Calculated data","1000 $","34435","Calculated data","index","58","Calculated data","index","43","Calculated data","index","36","Calculated data","1000 $","19868","Calculated data","1000 $","16700","Calculated data","index","16","Calculated data"
"2003 [2003]","Meat, cattle [867]","Ireland [104]","index","100","Calculated data","index","55","Calculated data","1000 $","1940231","Calculated data","1000 $","1073928","Calculated data","index","56","Calculated data","index","46","Calculated data","index","64","Calculated data","1000 $","51730","Calculated data","1000 $","72234","Calculated data","index","30","Calculated data"
"2003 [2003]","Meat, chicken [1058]","Hungary [97]","index","62","Calculated data","index","91","Calculated data","1000 $","345552","Calculated data","1000 $","510920","Calculated data","index","57","Calculated data","index","53","Calculated data","index","36","Calculated data","1000 $","31871","Calculated data","1000 $","21367","Calculated data","index","19","Calculated data"
"2003 [2003]","Meat, chicken [1058]","Ireland [104]","index","74","Calculated data","index","110","Calculated data","1000 $","71739","Calculated data","1000 $","109634","Calculated data","index","83","Calculated data","index","41","Calculated data","index","101","Calculated data","1000 $","140932","Calculated data","1000 $","357603","Calculated data","index","43","Calculated data"
"2003 [2003]","Meat, pig [1035]","Hungary [97]","index","62","Calculated data","index","85","Calculated data","1000 $","228803","Calculated data","1000 $","316419","Calculated data","index","53","Calculated data","index","22","Calculated data","index","67","Calculated data","1000 $","58967","Calculated data","1000 $","178094","Calculated data","index","15","Calculated data"
"2003 [2003]","Meat, pig [1035]","Ireland [104]","index","43","Calculated data","index","87","Calculated data","1000 $","199405","Calculated data","1000 $","402228","Calculated data","index","38","Calculated data","index","60","Calculated data","index","112","Calculated data","1000 $","74820","Calculated data","1000 $","140014","Calculated data","index","67","Calculated data"
"2003 [2003]","Meat, sheep [977]","Hungary [97]","index","174","Calculated data","index","73","Calculated data","1000 $","2457","Calculated data","1000 $","1117","Calculated data","index","138","Calculated data","index","73","Calculated data","index","74","Calculated data","1000 $","1160","Calculated data","1000 $","1200","Calculated data","index","55","Calculated data"
"2003 [2003]","Meat, sheep [977]","Ireland [104]","index","102","Calculated data","index","65","Calculated data","1000 $","276257","Calculated data","1000 $","176186","Calculated data","index","66","Calculated data","index","35","Calculated data","index","72","Calculated data","1000 $","8367","Calculated data","1000 $","17392","Calculated data","index","25","Calculated data"
"2004 [2004]","Meat, cattle [867]","Hungary [97]","index","55","Calculated data","index","127","Calculated data","1000 $","19991","Calculated data","1000 $","46041","Calculated data","index","70","Calculated data","index","53","Calculated data","index","70","Calculated data","1000 $","24122","Calculated data","1000 $","32354","Calculated data","index","37","Calculated data"
"2004 [2004]","Meat, cattle [867]","Ireland [104]","index","88","Calculated data","index","73","Calculated data","1000 $","1706918","Calculated data","1000 $","1425653","Calculated data","index","65","Calculated data","index","71","Calculated data","index","68","Calculated data","1000 $","78832","Calculated data","1000 $","76757","Calculated data","index","49","Calculated data"
"2004 [2004]","Meat, chicken [1058]","Hungary [97]","index","53","Calculated data","index","106","Calculated data","1000 $","293652","Calculated data","1000 $","595593","Calculated data","index","56","Calculated data","index","55","Calculated data","index","41","Calculated data","1000 $","32823","Calculated data","1000 $","24500","Calculated data","index","23","Calculated data"
"2004 [2004]","Meat, chicken [1058]","Ireland [104]","index","65","Calculated data","index","143","Calculated data","1000 $","62959","Calculated data","1000 $","141557","Calculated data","index","95","Calculated data","index","37","Calculated data","index","127","Calculated data","1000 $","127404","Calculated data","1000 $","447093","Calculated data","index","48","Calculated data"
"2004 [2004]","Meat, pig [1035]","Hungary [97]","index","58","Calculated data","index","104","Calculated data","1000 $","215303","Calculated data","1000 $","384195","Calculated data","index","60","Calculated data","index","33","Calculated data","index","120","Calculated data","1000 $","87149","Calculated data","1000 $","320804","Calculated data","index","39","Calculated data"
"2004 [2004]","Meat, pig [1035]","Ireland [104]","index","43","Calculated data","index","106","Calculated data","1000 $","198346","Calculated data","1000 $","492014","Calculated data","index","46","Calculated data","index","76","Calculated data","index","115","Calculated data","1000 $","95508","Calculated data","1000 $","144045","Calculated data","index","88","Calculated data"
"2004 [2004]","Meat, sheep [977]","Hungary [97]","index","213","Calculated data","index","83","Calculated data","1000 $","3011","Calculated data","1000 $","1276","Calculated data","index","193","Calculated data","index","32","Calculated data","index","118","Calculated data","1000 $","514","Calculated data","1000 $","1922","Calculated data","index","39","Calculated data"
"2004 [2004]","Meat, sheep [977]","Ireland [104]","index","114","Calculated data","index","70","Calculated data","1000 $","309794","Calculated data","1000 $","189814","Calculated data","index","80","Calculated data","index","54","Calculated data","index","74","Calculated data","1000 $","13051","Calculated data","1000 $","17869","Calculated data","index","40","Calculated data"
"2005 [2005]","Meat, cattle [867]","Hungary [97]","index","78","Calculated data","index","108","Calculated data","1000 $","28381","Calculated data","1000 $","39238","Calculated data","index","85","Calculated data","index","78","Calculated data","index","74","Calculated data","1000 $","35822","Calculated data","1000 $","33818","Calculated data","index","57","Calculated data"
"2005 [2005]","Meat, cattle [867]","Ireland [104]","index","94","Calculated data","index","79","Calculated data","1000 $","1815993","Calculated data","1000 $","1529139","Calculated data","index","74","Calculated data","index","64","Calculated data","index","80","Calculated data","1000 $","71528","Calculated data","1000 $","90099","Calculated data","index","52","Calculated data"
"2005 [2005]","Meat, chicken [1058]","Hungary [97]","index","45","Calculated data","index","110","Calculated data","1000 $","253470","Calculated data","1000 $","613993","Calculated data","index","50","Calculated data","index","115","Calculated data","index","55","Calculated data","1000 $","68476","Calculated data","1000 $","32776","Calculated data","index","63","Calculated data"
"2005 [2005]","Meat, chicken [1058]","Ireland [104]","index","64","Calculated data","index","165","Calculated data","1000 $","61759","Calculated data","1000 $","163855","Calculated data","index","107","Calculated data","index","54","Calculated data","index","110","Calculated data","1000 $","185103","Calculated data","1000 $","386732","Calculated data","index","61","Calculated data"
"2005 [2005]","Meat, pig [1035]","Hungary [97]","index","62","Calculated data","index","106","Calculated data","1000 $","229809","Calculated data","1000 $","391592","Calculated data","index","66","Calculated data","index","66","Calculated data","index","94","Calculated data","1000 $","174534","Calculated data","1000 $","251109","Calculated data","index","62","Calculated data"
"2005 [2005]","Meat, pig [1035]","Ireland [104]","index","52","Calculated data","index","109","Calculated data","1000 $","237527","Calculated data","1000 $","508280","Calculated data","index","57","Calculated data","index","89","Calculated data","index","123","Calculated data","1000 $","111937","Calculated data","1000 $","153334","Calculated data","index","110","Calculated data"
"2005 [2005]","Meat, sheep [977]","Hungary [97]","index","146","Calculated data","index","57","Calculated data","1000 $","2063","Calculated data","1000 $","875","Calculated data","index","91","Calculated data","index","100","Calculated data","index","83","Calculated data","1000 $","1586","Calculated data","1000 $","1362","Calculated data","index","86","Calculated data"
"2005 [2005]","Meat, sheep [977]","Ireland [104]","index","123","Calculated data","index","70","Calculated data","1000 $","334633","Calculated data","1000 $","191685","Calculated data","index","87","Calculated data","index","42","Calculated data","index","98","Calculated data","1000 $","10242","Calculated data","1000 $","23695","Calculated data","index","42","Calculated data"
"2006 [2006]","Meat, cattle [867]","Hungary [97]","index","47","Calculated data","index","109","Calculated data","1000 $","16825","Calculated data","1000 $","39715","Calculated data","index","51","Calculated data","index","91","Calculated data","index","75","Calculated data","1000 $","41988","Calculated data","1000 $","34535","Calculated data","index","69","Calculated data"
"2006 [2006]","Meat, cattle [867]","Ireland [104]","index","102","Calculated data","index","84","Calculated data","1000 $","1973090","Calculated data","1000 $","1632639","Calculated data","index","86","Calculated data","index","88","Calculated data","index","93","Calculated data","1000 $","98555","Calculated data","1000 $","104496","Calculated data","index","83","Calculated data"
"2006 [2006]","Meat, chicken [1058]","Hungary [97]","index","38","Calculated data","index","112","Calculated data","1000 $","209959","Calculated data","1000 $","626474","Calculated data","index","42","Calculated data","index","82","Calculated data","index","59","Calculated data","1000 $","48838","Calculated data","1000 $","34763","Calculated data","index","48","Calculated data"
"2006 [2006]","Meat, chicken [1058]","Ireland [104]","index","76","Calculated data","index","138","Calculated data","1000 $","73407","Calculated data","1000 $","136986","Calculated data","index","107","Calculated data","index","51","Calculated data","index","118","Calculated data","1000 $","176146","Calculated data","1000 $","414914","Calculated data","index","62","Calculated data"
"2006 [2006]","Meat, pig [1035]","Hungary [97]","index","63","Calculated data","index","109","Calculated data","1000 $","234732","Calculated data","1000 $","405548","Calculated data","index","70","Calculated data","index","57","Calculated data","index","94","Calculated data","1000 $","151136","Calculated data","1000 $","251245","Calculated data","index","54","Calculated data"
"2006 [2006]","Meat, pig [1035]","Ireland [104]","index","46","Calculated data","index","104","Calculated data","1000 $","213618","Calculated data","1000 $","481581","Calculated data","index","48","Calculated data","index","87","Calculated data","index","131","Calculated data","1000 $","109295","Calculated data","1000 $","163516","Calculated data","index","114","Calculated data"
"2006 [2006]","Meat, sheep [977]","Hungary [97]","index","146","Calculated data","index","75","Calculated data","1000 $","2056","Calculated data","1000 $","1149","Calculated data","index","119","Calculated data","index","123","Calculated data","index","99","Calculated data","1000 $","1946","Calculated data","1000 $","1608","Calculated data","index","124","Calculated data"
"2006 [2006]","Meat, sheep [977]","Ireland [104]","index","120","Calculated data","index","72","Calculated data","1000 $","326143","Calculated data","1000 $","197169","Calculated data","index","87","Calculated data","index","52","Calculated data","index","103","Calculated data","1000 $","12499","Calculated data","1000 $","24918","Calculated data","index","53","Calculated data"
"2007 [2007]","Meat, cattle [867]","Hungary [97]","index","88","Calculated data","index","111","Calculated data","1000 $","31703","Calculated data","1000 $","40343","Calculated data","index","98","Calculated data","index","83","Calculated data","index","77","Calculated data","1000 $","38249","Calculated data","1000 $","35580","Calculated data","index","64","Calculated data"
"2007 [2007]","Meat, cattle [867]","Ireland [104]","index","114","Calculated data","index","82","Calculated data","1000 $","2203784","Calculated data","1000 $","1600036","Calculated data","index","94","Calculated data","index","85","Calculated data","index","93","Calculated data","1000 $","94428","Calculated data","1000 $","104999","Calculated data","index","80","Calculated data"
"2007 [2007]","Meat, chicken [1058]","Hungary [97]","index","42","Calculated data","index","149","Calculated data","1000 $","235627","Calculated data","1000 $","835503","Calculated data","index","63","Calculated data","index","84","Calculated data","index","86","Calculated data","1000 $","49899","Calculated data","1000 $","51202","Calculated data","index","72","Calculated data"
"2007 [2007]","Meat, chicken [1058]","Ireland [104]","index","78","Calculated data","index","156","Calculated data","1000 $","75750","Calculated data","1000 $","154794","Calculated data","index","124","Calculated data","index","53","Calculated data","index","131","Calculated data","1000 $","181890","Calculated data","1000 $","462108","Calculated data","index","71","Calculated data"
"2007 [2007]","Meat, pig [1035]","Hungary [97]","index","61","Calculated data","index","116","Calculated data","1000 $","226013","Calculated data","1000 $","429403","Calculated data","index","71","Calculated data","index","52","Calculated data","index","96","Calculated data","1000 $","139620","Calculated data","1000 $","255761","Calculated data","index","50","Calculated data"
"2007 [2007]","Meat, pig [1035]","Ireland [104]","index","49","Calculated data","index","105","Calculated data","1000 $","226124","Calculated data","1000 $","489166","Calculated data","index","52","Calculated data","index","94","Calculated data","index","135","Calculated data","1000 $","117827","Calculated data","1000 $","169541","Calculated data","index","128","Calculated data"
"2007 [2007]","Meat, sheep [977]","Hungary [97]","","","","","","","","","","","","","index","0","Calculated data","index","59","Calculated data","index","119","Calculated data","1000 $","933","Calculated data","1000 $","1941","Calculated data","index","72","Calculated data"
"2007 [2007]","Meat, sheep [977]","Ireland [104]","index","109","Calculated data","index","81","Calculated data","1000 $","297208","Calculated data","1000 $","221245","Calculated data","index","89","Calculated data","index","52","Calculated data","index","108","Calculated data","1000 $","12664","Calculated data","1000 $","26239","Calculated data","index","57","Calculated data"
"2008 [2008]","Meat, cattle [867]","Hungary [97]","index","117","Calculated data","index","136","Calculated data","1000 $","42244","Calculated data","1000 $","49306","Calculated data","index","159","Calculated data","index","91","Calculated data","index","100","Calculated data","1000 $","41840","Calculated data","1000 $","46031","Calculated data","index","91","Calculated data"
"2008 [2008]","Meat, cattle [867]","Ireland [104]","index","95","Calculated data","index","108","Calculated data","1000 $","1845954","Calculated data","1000 $","2098754","Calculated data","index","103","Calculated data","index","110","Calculated data","index","105","Calculated data","1000 $","123138","Calculated data","1000 $","117542","Calculated data","index","116","Calculated data"
"2008 [2008]","Meat, chicken [1058]","Hungary [97]","index","49","Calculated data","index","151","Calculated data","1000 $","274615","Calculated data","1000 $","846290","Calculated data","index","74","Calculated data","index","95","Calculated data","index","104","Calculated data","1000 $","56662","Calculated data","1000 $","61839","Calculated data","index","99","Calculated data"
"2008 [2008]","Meat, chicken [1058]","Ireland [104]","index","66","Calculated data","index","152","Calculated data","1000 $","64441","Calculated data","1000 $","151143","Calculated data","index","103","Calculated data","index","59","Calculated data","index","137","Calculated data","1000 $","202294","Calculated data","1000 $","483604","Calculated data","index","83","Calculated data"
"2008 [2008]","Meat, pig [1035]","Hungary [97]","index","68","Calculated data","index","125","Calculated data","1000 $","251603","Calculated data","1000 $","462337","Calculated data","index","85","Calculated data","index","64","Calculated data","index","118","Calculated data","1000 $","171290","Calculated data","1000 $","314425","Calculated data","index","76","Calculated data"
"2008 [2008]","Meat, pig [1035]","Ireland [104]","index","47","Calculated data","index","107","Calculated data","1000 $","214569","Calculated data","1000 $","495277","Calculated data","index","50","Calculated data","index","89","Calculated data","index","146","Calculated data","1000 $","111679","Calculated data","1000 $","182353","Calculated data","index","130","Calculated data"
"2008 [2008]","Meat, sheep [977]","Hungary [97]","","","","","","","","","","","","","","","","index","21","Calculated data","index","140","Calculated data","1000 $","338","Calculated data","1000 $","2291","Calculated data","index","31","Calculated data"
"2008 [2008]","Meat, sheep [977]","Ireland [104]","index","98","Calculated data","index","89","Calculated data","1000 $","266923","Calculated data","1000 $","241806","Calculated data","index","87","Calculated data","index","69","Calculated data","index","124","Calculated data","1000 $","16596","Calculated data","1000 $","30089","Calculated data","index","86","Calculated data"
"2009 [2009]","Meat, cattle [867]","Hungary [97]","index","130","Calculated data","index","117","Calculated data","1000 $","47146","Calculated data","1000 $","42435","Calculated data","index","153","Calculated data","index","108","Calculated data","index","103","Calculated data","1000 $","49587","Calculated data","1000 $","47586","Calculated data","index","112","Calculated data"
"2009 [2009]","Meat, cattle [867]","Ireland [104]","index","94","Calculated data","index","95","Calculated data","1000 $","1817971","Calculated data","1000 $","1856844","Calculated data","index","90","Calculated data","index","112","Calculated data","index","98","Calculated data","1000 $","125284","Calculated data","1000 $","110167","Calculated data","index","111","Calculated data"
"2009 [2009]","Meat, chicken [1058]","Hungary [97]","index","54","Calculated data","index","120","Calculated data","1000 $","301755","Calculated data","1000 $","673269","Calculated data","index","65","Calculated data","index","87","Calculated data","index","82","Calculated data","1000 $","51808","Calculated data","1000 $","48870","Calculated data","index","71","Calculated data"
"2009 [2009]","Meat, chicken [1058]","Ireland [104]","index","71","Calculated data","index","120","Calculated data","1000 $","69213","Calculated data","1000 $","118703","Calculated data","index","87","Calculated data","index","55","Calculated data","index","121","Calculated data","1000 $","189616","Calculated data","1000 $","425312","Calculated data","index","68","Calculated data"
"2009 [2009]","Meat, pig [1035]","Hungary [97]","index","79","Calculated data","index","108","Calculated data","1000 $","294035","Calculated data","1000 $","401927","Calculated data","index","86","Calculated data","index","75","Calculated data","index","107","Calculated data","1000 $","198534","Calculated data","1000 $","285770","Calculated data","index","80","Calculated data"
"2009 [2009]","Meat, pig [1035]","Ireland [104]","index","49","Calculated data","index","88","Calculated data","1000 $","225340","Calculated data","1000 $","407333","Calculated data","index","43","Calculated data","index","93","Calculated data","index","123","Calculated data","1000 $","116350","Calculated data","1000 $","153697","Calculated data","index","114","Calculated data"
"2009 [2009]","Meat, sheep [977]","Hungary [97]","index","2","Calculated data","index","96","Calculated data","1000 $","27","Calculated data","1000 $","1479","Calculated data","index","2","Calculated data","index","36","Calculated data","index","128","Calculated data","1000 $","573","Calculated data","1000 $","2082","Calculated data","index","47","Calculated data"
"2009 [2009]","Meat, sheep [977]","Ireland [104]","index","94","Calculated data","index","87","Calculated data","1000 $","254500","Calculated data","1000 $","237124","Calculated data","index","82","Calculated data","index","94","Calculated data","index","100","Calculated data","1000 $","22820","Calculated data","1000 $","24174","Calculated data","index","95","Calculated data"
